NAME,B08301_001E,B08301_003E,B08301_010E,state,county,tract
Census Tract 78.08; Fulton County; Georgia,907,381,270,13,121,007808
Census Tract 78.09; Fulton County; Georgia,2088,1593,102,13,121,007809
Census Tract 78.10; Fulton County; Georgia,1705,1444,81,13,121,007810
Census Tract 79; Fulton County; Georgia,2693,1719,215,13,121,007900
Census Tract 80; Fulton County; Georgia,2609,1556,271,13,121,008000
Census Tract 81.03; Fulton County; Georgia,1586,1144,351,13,121,008103
Census Tract 81.04; Fulton County; Georgia,957,512,27,13,121,008104
Census Tract 82.02; Fulton County; Georgia,910,689,83,13,121,008202
Census Tract 82.03; Fulton County; Georgia,1011,598,107,13,121,008203
Census Tract 82.04; Fulton County; Georgia,752,620,61,13,121,008204
Census Tract 83.01; Fulton County; Georgia,1867,933,427,13,121,008301
Census Tract 83.02; Fulton County; Georgia,572,408,50,13,121,008302
Census Tract 84; Fulton County; Georgia,1214,535,209,13,121,008400
Census Tract 85; Fulton County; Georgia,1369,773,31,13,121,008500
Census Tract 86.01; Fulton County; Georgia,1210,730,251,13,121,008601
Census Tract 86.02; Fulton County; Georgia,708,452,55,13,121,008602
Census Tract 87.01; Fulton County; Georgia,1268,625,175,13,121,008701
Census Tract 87.02; Fulton County; Georgia,1116,836,0,13,121,008702
Census Tract 88.01; Fulton County; Georgia,1410,686,20,13,121,008801
Census Tract 88.02; Fulton County; Georgia,1946,1335,0,13,121,008802
Census Tract 89.03; Fulton County; Georgia,2576,1626,0,13,121,008903
Census Tract 89.05; Fulton County; Georgia,4590,2196,2,13,121,008905
Census Tract 89.06; Fulton County; Georgia,1239,701,0,13,121,008906
Census Tract 89.07; Fulton County; Georgia,1828,1186,0,13,121,008907
Census Tract 89.08; Fulton County; Georgia,1533,989,115,13,121,008908
Census Tract 89.09; Fulton County; Georgia,942,564,0,13,121,008909
Census Tract 90.01; Fulton County; Georgia,1396,792,0,13,121,009001
Census Tract 90.02; Fulton County; Georgia,1483,749,0,13,121,009002
Census Tract 91.03; Fulton County; Georgia,2471,1439,204,13,121,009103
Census Tract 91.04; Fulton County; Georgia,2259,1492,12,13,121,009104
Census Tract 91.05; Fulton County; Georgia,581,361,4,13,121,009105
Census Tract 91.06; Fulton County; Georgia,1933,1157,35,13,121,009106
Census Tract 92.01; Fulton County; Georgia,1182,690,59,13,121,009201
Census Tract 92.02; Fulton County; Georgia,1855,1168,0,13,121,009202
Census Tract 92.03; Fulton County; Georgia,1973,1141,107,13,121,009203
Census Tract 93.01; Fulton County; Georgia,1978,1148,15,13,121,009301
Census Tract 93.02; Fulton County; Georgia,1437,853,93,13,121,009302
Census Tract 94.05; Fulton County; Georgia,2645,1305,541,13,121,009405
Census Tract 94.06; Fulton County; Georgia,1566,839,172,13,121,009406
Census Tract 94.07; Fulton County; Georgia,983,747,29,13,121,009407
Census Tract 94.08; Fulton County; Georgia,1007,489,40,13,121,009408
Census Tract 94.09; Fulton County; Georgia,1132,468,163,13,121,009409
Census Tract 94.10; Fulton County; Georgia,1823,1000,31,13,121,009410
Census Tract 94.11; Fulton County; Georgia,1505,1020,43,13,121,009411
Census Tract 95.01; Fulton County; Georgia,1553,971,0,13,121,009501
Census Tract 95.03; Fulton County; Georgia,736,557,0,13,121,009503
Census Tract 95.04; Fulton County; Georgia,2050,1473,0,13,121,009504
Census Tract 96.01; Fulton County; Georgia,2016,1272,12,13,121,009601
Census Tract 96.04; Fulton County; Georgia,2439,1667,13,13,121,009604
Census Tract 96.05; Fulton County; Georgia,2007,973,143,13,121,009605
Census Tract 96.06; Fulton County; Georgia,808,482,14,13,121,009606
Census Tract 96.07; Fulton County; Georgia,2729,1624,210,13,121,009607
Census Tract 97; Fulton County; Georgia,2055,1572,0,13,121,009700
Census Tract 98.02; Fulton County; Georgia,2106,1573,0,13,121,009802
Census Tract 98.03; Fulton County; Georgia,1759,1063,0,13,121,009803
Census Tract 98.04; Fulton County; Georgia,1169,585,0,13,121,009804
Census Tract 99; Fulton County; Georgia,2400,1324,0,13,121,009900
Census Tract 100.03; Fulton County; Georgia,3150,1979,0,13,121,010003
Census Tract 100.04; Fulton County; Georgia,1550,1075,0,13,121,010004
Census Tract 100.05; Fulton County; Georgia,1616,991,9,13,121,010005
Census Tract 100.06; Fulton County; Georgia,2723,1793,0,13,121,010006
Census Tract 100.07; Fulton County; Georgia,846,439,0,13,121,010007
Census Tract 101.06; Fulton County; Georgia,2015,1406,68,13,121,010106
Census Tract 101.07; Fulton County; Georgia,917,532,4,13,121,010107
Census Tract 101.08; Fulton County; Georgia,2182,1164,38,13,121,010108
Census Tract 101.15; Fulton County; Georgia,1512,878,27,13,121,010115
Census Tract 101.17; Fulton County; Georgia,2769,1797,86,13,121,010117
Census Tract 101.20; Fulton County; Georgia,2218,1540,26,13,121,010120
Census Tract 101.21; Fulton County; Georgia,1427,737,78,13,121,010121
Census Tract 101.24; Fulton County; Georgia,1468,677,13,13,121,010124
Census Tract 101.25; Fulton County; Georgia,2058,1063,287,13,121,010125
Census Tract 101.26; Fulton County; Georgia,1318,683,19,13,121,010126
Census Tract 101.27; Fulton County; Georgia,1655,898,0,13,121,010127
Census Tract 101.28; Fulton County; Georgia,1268,568,47,13,121,010128
Census Tract 101.29; Fulton County; Georgia,2780,1824,0,13,121,010129
Census Tract 101.30; Fulton County; Georgia,2602,1265,25,13,121,010130
Census Tract 101.31; Fulton County; Georgia,1337,499,76,13,121,010131
Census Tract 101.32; Fulton County; Georgia,2190,1440,122,13,121,010132
Census Tract 101.33; Fulton County; Georgia,3369,2311,33,13,121,010133
Census Tract 101.34; Fulton County; Georgia,1386,641,161,13,121,010134
Census Tract 101.35; Fulton County; Georgia,1145,793,87,13,121,010135
Census Tract 101.36; Fulton County; Georgia,2344,1424,50,13,121,010136
Census Tract 101.37; Fulton County; Georgia,2199,1384,114,13,121,010137
Census Tract 102.04; Fulton County; Georgia,2046,1018,27,13,121,010204
Census Tract 102.11; Fulton County; Georgia,1998,1547,0,13,121,010211
Census Tract 102.12; Fulton County; Georgia,3048,1787,14,13,121,010212
Census Tract 102.13; Fulton County; Georgia,521,285,11,13,121,010213
Census Tract 102.14; Fulton County; Georgia,1013,453,85,13,121,010214
Census Tract 102.15; Fulton County; Georgia,1076,741,39,13,121,010215
Census Tract 102.16; Fulton County; Georgia,1849,858,42,13,121,010216
Census Tract 102.17; Fulton County; Georgia,1627,951,18,13,121,010217
Census Tract 102.18; Fulton County; Georgia,1269,850,17,13,121,010218
