NAME,B08141_001E,B08141_002E,state,county,tract
Census Tract 87.02; Fulton County; Georgia,1104,0,13,121,008702
Census Tract 88.01; Fulton County; Georgia,1410,0,13,121,008801
Census Tract 88.02; Fulton County; Georgia,1946,64,13,121,008802
Census Tract 89.03; Fulton County; Georgia,2574,57,13,121,008903
Census Tract 89.05; Fulton County; Georgia,4587,212,13,121,008905
Census Tract 89.06; Fulton County; Georgia,1239,229,13,121,008906
Census Tract 89.07; Fulton County; Georgia,1828,52,13,121,008907
Census Tract 89.08; Fulton County; Georgia,1533,189,13,121,008908
Census Tract 89.09; Fulton County; Georgia,942,0,13,121,008909
Census Tract 90.01; Fulton County; Georgia,1396,55,13,121,009001
Census Tract 90.02; Fulton County; Georgia,1483,0,13,121,009002
Census Tract 91.03; Fulton County; Georgia,2464,108,13,121,009103
Census Tract 91.04; Fulton County; Georgia,2259,26,13,121,009104
Census Tract 91.05; Fulton County; Georgia,581,0,13,121,009105
Census Tract 91.06; Fulton County; Georgia,1933,80,13,121,009106
Census Tract 92.01; Fulton County; Georgia,1182,206,13,121,009201
Census Tract 92.02; Fulton County; Georgia,1855,28,13,121,009202
Census Tract 92.03; Fulton County; Georgia,1973,99,13,121,009203
Census Tract 93.01; Fulton County; Georgia,1978,56,13,121,009301
Census Tract 93.02; Fulton County; Georgia,1437,65,13,121,009302
Census Tract 94.05; Fulton County; Georgia,2645,435,13,121,009405
Census Tract 94.06; Fulton County; Georgia,1566,225,13,121,009406
Census Tract 94.07; Fulton County; Georgia,983,13,13,121,009407
Census Tract 94.08; Fulton County; Georgia,1007,42,13,121,009408
Census Tract 94.09; Fulton County; Georgia,1132,185,13,121,009409
Census Tract 94.10; Fulton County; Georgia,1808,82,13,121,009410
Census Tract 94.11; Fulton County; Georgia,1505,0,13,121,009411
Census Tract 95.01; Fulton County; Georgia,1553,61,13,121,009501
Census Tract 95.03; Fulton County; Georgia,736,75,13,121,009503
Census Tract 95.04; Fulton County; Georgia,2050,57,13,121,009504
Census Tract 96.01; Fulton County; Georgia,2016,103,13,121,009601
Census Tract 96.04; Fulton County; Georgia,2439,59,13,121,009604
Census Tract 96.05; Fulton County; Georgia,2007,118,13,121,009605
Census Tract 96.06; Fulton County; Georgia,808,18,13,121,009606
Census Tract 96.07; Fulton County; Georgia,2696,200,13,121,009607
Census Tract 97; Fulton County; Georgia,2055,0,13,121,009700
